pid,group,name,slice,otsu_foreground,huang_foreground,otsu_foreground_ratio,huang_foreground_ratio,otsu_foreground_normalized,huang_foreground_normalized
12,13,8,8,6971,12030,0.1063690185546875,0.183563232421875,0.49223273548933766,0.5553247472649218
12,13,8,9,6563,12865,0.1001434326171875,0.1963043212890625,0.46342324530433554,0.5938697318007663
12,13,8,10,7020,13814,0.10711669921875,0.210784912109375,0.49569269877135996,0.6376771453630614
12,13,8,11,9667,17201,0.1475067138671875,0.2624664306640625,0.6826013274961164,0.7940266814383973
12,13,8,12,10051,18552,0.1533660888671875,0.2830810546875,0.7097161417878831,0.8563910815676499
12,13,8,13,11754,19968,0.179351806640625,0.3046875,0.8299675187120463,0.9217559894751419
12,13,8,14,12959,20494,0.1977386474609375,0.312713623046875,0.9150543708515746,0.9460370216498176
12,13,8,15,14148,21663,0.21588134765625,0.3305511474609375,0.9990114390622793,1.0
12,13,8,16,14162,21115,0.216094970703125,0.3221893310546875,1.0,0.9747034113465356
12,13,8,17,13482,21447,0.205718994140625,0.3272552490234375,0.9519841830249964,0.9900290818446199
12,13,8,18,11912,19904,0.1817626953125,0.3037109375,0.8411241350091795,0.9188016433550293
12,13,8,19,11390,19614,0.173797607421875,0.299285888671875,0.8042649343313092,0.9054147624982689
12,13,8,20,10262,18334,0.156585693359375,0.279754638671875,0.7246151673492445,0.8463278400960162
12,13,8,21,9611,16737,0.1466522216796875,0.2553863525390625,0.6786470837452337,0.7726076720675806
12,13,8,22,8701,14118,0.1327667236328125,0.215423583984375,0.6143906227933907,0.6517102894335964
12,13,8,23,6790,11735,0.103607177734375,0.1790618896484375,0.4794520547945205,0.5417070581175276
12,13,8,24,5178,9121,0.079010009765625,0.1391754150390625,0.36562632396554157,0.4210404837741772
12,13,8,25,4920,7447,0.0750732421875,0.1136322021484375,0.3474085581132608,0.34376586806998105
12,13,8,26,4184,5625,0.0638427734375,0.0858306884765625,0.29543849738737465,0.2596593269630245
12,13,8,27,4252,5144,0.06488037109375,0.0784912109375,0.30024007908487504,0.237455569404053
12,13,8,28,3703,4273,0.0565032958984375,0.0652008056640625,0.2614743680271148,0.1972487651756451
12,13,8,29,2274,2690,0.034698486328125,0.041046142578125,0.16057054088405592,0.12417486036098417
12,13,8,30,1603,1820,0.0244598388671875,0.02777099609375,0.11319022736901567,0.08401421779070305
13,13,10,1,2495,2707,0.0380706787109375,0.0413055419921875,0.16988969086204547,0.13820391075713484
13,13,10,2,3197,3449,0.0487823486328125,0.0526275634765625,0.21769031730900176,0.17608617960892428
13,13,10,3,3813,4428,0.0581817626953125,0.06756591796875,0.2596350265559036,0.22606831061418287
